               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.030916,           0.0083897,           0.0059681,             0.92992,             0.95186,             0.96685,             0.72159,            0.013844,           0.0037009,            0.004684,           0.0033085,           0.0033085,            0.056208
                 118,            0.028891,           0.0076896,           0.0042093,             0.92763,             0.96292,             0.97162,             0.75998,            0.013001,           0.0037005,           0.0053889,           0.0033155,           0.0033155,            0.055815
                 119,            0.030389,           0.0076986,           0.0052898,             0.76744,             0.97899,             0.95055,             0.71276,            0.012058,           0.0036324,           0.0096295,            0.003322,            0.003322,            0.055422
                 120,            0.027715,           0.0078234,           0.0047093,              0.9512,             0.96056,             0.97253,             0.76521,            0.013071,           0.0035138,           0.0061193,           0.0033281,           0.0033281,            0.055028
                 121,            0.028134,           0.0083917,           0.0047829,             0.94965,               0.971,             0.98269,             0.77399,            0.012872,            0.003665,           0.0045577,           0.0033338,           0.0033338,            0.054634
                 122,            0.030033,           0.0076878,           0.0065256,             0.96732,             0.95185,             0.98716,             0.78455,            0.012669,           0.0039427,           0.0048551,           0.0033391,           0.0033391,            0.054239
                 123,            0.026972,           0.0077758,           0.0040933,              0.9298,             0.91354,             0.98024,             0.65691,              0.0167,           0.0037203,           0.0043754,            0.003344,            0.003344,            0.053844
                 124,            0.026749,           0.0076378,            0.004381,                   1,             0.86253,             0.98389,             0.75669,            0.013383,            0.003586,           0.0043771,           0.0033484,           0.0033484,            0.053448
                 125,            0.027634,           0.0067749,           0.0042004,             0.93782,             0.95698,             0.97898,             0.76599,            0.014161,           0.0039035,            0.005012,           0.0033523,           0.0033523,            0.053052
                 126,            0.028903,           0.0079274,           0.0043345,             0.98874,             0.95992,             0.98199,             0.81751,            0.013588,           0.0037999,           0.0037586,           0.0033559,           0.0033559,            0.052656
                 127,            0.027561,           0.0076079,           0.0047057,              0.9792,             0.96416,             0.98281,             0.73395,            0.012887,           0.0042595,           0.0040089,            0.003359,            0.003359,            0.052259
                 128,            0.029264,           0.0076721,           0.0044593,             0.98596,             0.94662,             0.97431,             0.70459,            0.014033,           0.0043257,            0.004533,           0.0033617,           0.0033617,            0.051862
                 129,            0.025717,            0.007883,           0.0048229,             0.98534,             0.93336,             0.98201,             0.78967,            0.012425,           0.0037635,           0.0044198,            0.003364,            0.003364,            0.051464
                 130,            0.027565,           0.0074675,           0.0042805,              0.9479,             0.96806,             0.98096,             0.82483,            0.010944,           0.0038587,           0.0041478,           0.0033658,           0.0033658,            0.051066
                 131,            0.028407,            0.007102,           0.0048414,             0.91646,             0.95524,             0.96007,             0.66708,            0.014945,           0.0040116,           0.0034457,           0.0033672,           0.0033672,            0.050667
                 132,            0.029415,           0.0072439,            0.007079,             0.94776,             0.97139,             0.97828,             0.75149,            0.013943,           0.0043232,           0.0040445,           0.0033682,           0.0033682,            0.050268
                 133,            0.029975,           0.0082668,           0.0049265,             0.95121,             0.95282,             0.97245,             0.75671,            0.013009,            0.003915,           0.0053162,           0.0033688,           0.0033688,            0.049869
                 134,            0.026716,           0.0077801,           0.0053131,             0.93309,             0.95186,              0.9739,             0.77085,            0.013906,           0.0036889,           0.0054503,            0.003369,            0.003369,            0.049469
                 135,            0.025448,           0.0072693,           0.0061807,             0.94285,             0.94878,             0.97289,             0.78278,            0.012013,           0.0036091,           0.0054031,           0.0033687,           0.0033687,            0.049069
                 136,            0.026381,           0.0078051,           0.0046743,             0.95071,             0.95186,             0.97516,             0.79231,            0.012471,           0.0037529,           0.0049361,           0.0033681,           0.0033681,            0.048668
                 137,            0.026467,           0.0074939,           0.0036303,             0.94563,             0.97067,             0.97016,             0.72263,            0.013221,           0.0036117,           0.0043169,            0.003367,            0.003367,            0.048267
                 138,            0.026352,           0.0073772,           0.0041214,             0.96091,             0.94707,             0.98117,             0.78643,            0.013253,            0.003612,           0.0038826,           0.0033655,           0.0033655,            0.047866
                 139,             0.02667,           0.0070603,           0.0043158,             0.95002,             0.96942,             0.98573,             0.72367,            0.011652,           0.0033301,           0.0040655,           0.0033636,           0.0033636,            0.047464
                 140,            0.026061,           0.0074003,           0.0045349,              0.9529,             0.94058,             0.96425,             0.79678,             0.01106,           0.0035479,           0.0050784,           0.0033613,           0.0033613,            0.047061
